"class","sector","top_down_t_hr","inventory_t_hr"
"biogenic","5A1_Landfills_MSW",2.118,0.415
"biogenic","5D_Wastewater_Treatment_Domestic",1.688,0.331
"fossil","1B2b_Natural_Gas_Distribution",0.766,0.613
"biogenic","5A1_Landfills_Industrial",0.554,0.108
"fossil","Supp_1B2b_PostMeter",0.472,0.378
"biogenic","3A_Enteric_Fermentation",0.426,0.084
"fossil","1B2b_Natural_Gas_Processing",0.277,0.222
"fossil","1B2b_Natural_Gas_TransmissionStorage",0.131,0.104
"biogenic","3B_Manure_Management",0.088,0.017
"fossil","1B2a_Petroleum_Systems_Production",0.067,0.054
"biogenic","5B1_Composting",0.065,0.013
"fossil","1B2a_Petroleum_Systems_Refining",0.034,0.027
"fossil","1B2b_Natural_Gas_Production",0.024,0.02
"fossil","1B2ab_Abandoned_Oil_Gas",0.004,0.003
"fossil","1B2a_Petroleum_Systems_Exploration",0.004,0.003
"fossil","1B2a_Petroleum_Systems_Transport",0.004,0.003
"biogenic","5D_Wastewater_Treatment_Industrial",0.002,0
"biogenic","3F_Field_Burning",0.001,0
"fossil","1B1a_Abandoned_Coal",0,0
"fossil","1B1a_Surface_Coal",0,0
"fossil","1B1a_Underground_Coal",0,0
"fossil","1B2b_Natural_Gas_Exploration",0,0
"biogenic","3C_Rice_Cultivation",0,0
